Country Macro,Country,Datos Region,Year,SCALE,Employed persons,Population,FiscalBalance_pctGDP,Debt_pctGDP,Savings_pctGDP,GDP_real_growth,CapitalFormation_pctGDP,Market Shipments
Albania,Albania,CEE,2022,Units,,2778000.0,-3.639,65.198,19.828,4.827,27.637,
Albania,Albania,CEE,2022,,,2778000.0,-3.639,65.198,21.4575,4.420999999999999,25.782,
Albania,Albania,CEE,2023,Units,,2764000.0,-2.479,61.5865,23.087,4.015,23.927,
Albania,Albania,CEE,2023,,,2750000.0,-1.319,57.975,22.511,4.0305,24.7185,
Albania,Albania,CEE,2024,Units,,2736000.0,-1.022,57.0025,21.935,4.046,25.51,
Albania,Albania,CEE,2024,,,2722000.0,-0.725,56.03,22.439,3.702,25.991500000000002,
Albania,Albania,CEE,2025,Units,,2708500.0,-1.224,55.073499999999996,22.943,3.358,26.473,90.0
Albania,Albania,CEE,2025,Units,,2708500.0,-1.224,55.073499999999996,22.943,3.358,26.473,60.0
Albania,Albania,CEE,2025,,,2695000.0,-1.723,54.117,23.210500000000003,3.465,26.8925,90.0
Albania,Albania,CEE,2025,,,2695000.0,-1.723,54.117,23.210500000000003,3.465,26.8925,60.0
Albania,Albania,CEE,2026,Units,,2681500.0,-1.8130000000000002,53.414,23.478,3.572,27.312,60.0
Albania,Albania,CEE,2026,Units,,2681500.0,-1.8130000000000002,53.414,23.478,3.572,27.312,100.0
Albania,Albania,CEE,2026,,,2668000.0,-1.903,52.711,23.57,3.559,27.445999999999998,60.0
Albania,Albania,CEE,2026,,,2668000.0,-1.903,52.711,23.57,3.559,27.445999999999998,100.0
Albania,Albania,CEE,2027,Units,,2655000.0,-1.9085,52.027,23.662,3.546,27.58,110.0
Albania,Albania,CEE,2027,Units,,2655000.0,-1.9085,52.027,23.662,3.546,27.58,60.0
Albania,Albania,CEE,2027,,,2642000.0,-1.914,51.343,23.8905,3.5134999999999996,27.843,110.0
Albania,Albania,CEE,2027,,,2642000.0,-1.914,51.343,23.8905,3.5134999999999996,27.843,60.0
Albania,Albania,CEE,2028,Units,,2628500.0,-1.8995,50.6895,24.119,3.481,28.106,115.0
Albania,Albania,CEE,2028,Units,,2628500.0,-1.8995,50.6895,24.119,3.481,28.106,55.0
Albania,Albania,CEE,2028,,,2615000.0,-1.885,50.036,24.5,3.497,28.560000000000002,115.0
Albania,Albania,CEE,2028,,,2615000.0,-1.885,50.036,24.5,3.497,28.560000000000002,55.0
Albania,Albania,CEE,2029,Units,,2602000.0,-1.862,49.372,24.881,3.513,29.014,110.0
Albania,Albania,CEE,2029,Units,,2602000.0,-1.862,49.372,24.881,3.513,29.014,60.0
Albania,Albania,CEE,2029,,,2589000.0,-1.839,48.708,25.075,3.505,29.25,110.0
Albania,Albania,CEE,2029,,,2589000.0,-1.839,48.708,25.075,3.505,29.25,60.0
Albania,Albania,CEE,2030,Units,,2576000.0,-1.7930000000000001,47.9535,25.269,3.497,29.486,65.0
Albania,Albania,CEE,2030,Units,,2576000.0,-1.7930000000000001,47.9535,25.269,3.497,29.486,105.0
Albania,Albania,CEE,2030,,,2563000.0,-1.747,47.199,25.269,3.497,29.486,65.0
Albania,Albania,CEE,2030,,,2563000.0,-1.747,47.199,25.269,3.497,29.486,105.0
Algeria,Algeria,MEA,2022,Units,,45291000.0,-2.963,48.08,44.016,3.6,35.567,
Algeria,Algeria,MEA,2022,Millions,,45291000.0,-4.2395,47.8675,42.366,3.8499999999999996,36.937,
Algeria,Algeria,MEA,2023,Units,,45632000.0,-5.516,47.655,40.716,4.1,38.307,
Algeria,Algeria,MEA,2023,Millions,,45973000.0,-9.653500000000001,47.862,40.3835,3.9,39.715500000000006,
Algeria,Algeria,MEA,2024,Units,,46299500.0,-13.791,48.069,40.051,3.7,41.124,
Algeria,Algeria,MEA,2024,Millions,,46626000.0,-12.667,51.0585,37.748000000000005,3.5285,40.124,
Algeria,Algeria,MEA,2025,Units,,46938500.0,-11.543,54.048,35.445,3.357,39.124,88.0
Algeria,Algeria,MEA,2025,Units,,46938500.0,-11.543,54.048,35.445,3.357,39.124,272.0
Algeria,Algeria,MEA,2025,Millions,,47251000.0,-11.8595,58.134,35.2485,3.109,39.004000000000005,88.0
Algeria,Algeria,MEA,2025,Millions,,47251000.0,-11.8595,58.134,35.2485,3.109,39.004000000000005,272.0
Algeria,Algeria,MEA,2026,Units,,47551000.0,-12.176,62.22,35.052,2.861,38.884,295.0
Algeria,Algeria,MEA,2026,Units,,47551000.0,-12.176,62.22,35.052,2.861,38.884,90.0
Algeria,Algeria,MEA,2026,Millions,,47851000.0,-11.5,65.2365,34.7355,2.805,38.416,295.0
Algeria,Algeria,MEA,2026,Millions,,47851000.0,-11.5,65.2365,34.7355,2.805,38.416,90.0
Algeria,Algeria,MEA,2027,Units,,48138000.0,-10.824,68.253,34.419,2.749,37.948,90.0
Algeria,Algeria,MEA,2027,Units,,48138000.0,-10.824,68.253,34.419,2.749,37.948,320.0
Algeria,Algeria,MEA,2027,Millions,,48425000.0,-10.6355,70.9125,34.019,2.7435,37.512,90.0
Algeria,Algeria,MEA,2027,Millions,,48425000.0,-10.6355,70.9125,34.019,2.7435,37.512,320.0
